"id","name","pilot_id","created_at","updated_at"
67,"DJI Phantom 4 Pro",102,"2018-01-12 20:30:08.81149","2018-01-12 20:30:08.81149"
68,"DJI Phantom 3",103,"2018-01-12 22:35:38.4599","2018-01-12 22:35:38.4599"
69,"DJI Mavic",111,"2018-01-14 16:14:23.393373","2018-01-14 16:14:23.393373"
70,"DJI Phantom 4 Pro",111,"2018-01-14 16:14:23.410574","2018-01-14 16:14:23.410574"
71,"DJI Phantom 3",3,"2018-01-16 20:25:04.773349","2018-01-16 20:25:04.773349"
72,"DJI Mavic",3,"2018-01-16 20:25:04.80133","2018-01-16 20:25:04.80133"
73,"DJI Spark",116,"2018-01-16 23:51:04.785886","2018-01-16 23:51:04.785886"
74,"DJI Mavic",115,"2018-01-16 23:58:35.84726","2018-01-16 23:58:35.84726"
75,"DJI Spark",115,"2018-01-17 00:00:50.01574","2018-01-17 00:00:50.01574"
77,"DJI Mavic",40,"2018-01-17 13:55:38.681116","2018-01-17 13:55:38.681116"
79,"DJI Spark",120,"2018-01-17 17:09:02.121966","2018-01-17 17:09:02.121966"
76,"Xiaomi Mi Drone",117,"2018-01-17 00:40:34.94191","2018-01-17 18:32:35.132391"
81,"DJI Spark",121,"2018-01-17 22:39:19.854638","2018-01-17 22:39:19.854638"
82,"DJI Phantom 4 Pro",123,"2018-01-18 18:01:22.397074","2018-01-18 18:01:22.397074"
83,"DJI Phantom 4",123,"2018-01-18 18:01:22.4055","2018-01-18 18:01:22.4055"
84,"DJI Mavic",122,"2018-01-18 18:10:44.686657","2018-01-18 18:10:44.686657"
85,"DJI Spark",132,"2018-01-23 14:20:26.47307","2018-01-23 14:20:26.47307"
86,"DJI Mavic",132,"2018-01-23 14:20:26.529603","2018-01-23 14:20:26.529603"
87,"DJI Phantom 4 Pro",23,"2018-01-23 17:19:19.932155","2018-01-23 17:19:19.932155"
88,"DJI Mavic",133,"2018-01-23 23:14:59.114596","2018-01-23 23:14:59.114596"
89,"DJI Mavic",134,"2018-01-24 02:05:55.764545","2018-01-24 02:05:55.764545"
90,"DJI Spark",134,"2018-01-24 02:05:55.782707","2018-01-24 02:05:55.782707"
91,"DJI Mavic",136,"2018-01-24 09:48:37.400296","2018-01-24 09:48:37.400296"
78,"DJI Phantom 4",119,"2018-01-17 15:40:56.086641","2018-01-24 15:10:17.728138"
