"","as.yearmon(Data_Transacao)","Valor_Bruto","profit","cost","clients","lots","n_lots","avg_profit","Campanha","Impress..es","Cliques","Custo","Convers..es","Taxa.de.conv.","Custo...conv."
"1",Nov 2017,452,232.77,38.22,3,NA,NA,77.59,NA,NA,NA,NA,NA,NA,NA
"2",Dec 2017,5371,2904.31,466.9,30,12,2,96.8103333333333,"droneiro.com - Registros",14.554,1.449,"R$358,62",122,"8,42%","R$2,94"
"3",Jan 2018,9200,4126.98,1261.23,35,27,1,117.913714285714,"droneiro.com - Registros",16.949,1.721,"R$359,95",125,"7,26%","R$2,88"
"4",Feb 2018,7582,3590.12,3463.44,34,12,1,105.591764705882,"droneiro.com - Registros",12.491,1.31,"R$411,71",73,"5,59%","R$5,53"
"5",Mar 2018,11894,5282.17,3534.98,46,23,2,114.829782608696,"droneiro.com - Registros",16.762,1.73,"R$570,32",134,"7,75%","R$4,26"
"6",Apr 2018,11611,5612.11,3986.94,49,27,2,114.532857142857,"droneiro.com - Registros",14.522,1.493,"R$541,75",117,"7,84%","R$4,63"
